collocate,빈도,MI,T_score,log_likelihood
아빠,4,7.4782,1.9888,34.8369
눈물,3,7.2052,1.7203,24.7687
행복,3,6.5713,1.7138,22.0347
다아시,5,3.6202,2.0542,17.0544
오만,4,2.8857,1.7294,9.7211
편견,3,2.4393,1.4127,5.564
영화,4,1.94,1.4788,5.3105
사랑,3,2.1443,1.3403,4.5567
